account,field_key,description,accepted_unit,granularity,validation_rule,confidentiality,export_policy,required_for_formal_review
chp_variable_om,cost_category,Audited cost category,text,cost account,"Must distinguish fuel, fixed O&M, variable O&M, and other",confidential_local_only,metadata_only,True
chp_variable_om,fuel_included,Whether the account includes fuel,boolean,cost account,Must be explicitly confirmed from the ledger definition,confidential_local_only,metadata_only,True
chp_variable_om,fixed_variable_class,Fixed or variable classification,fixed|variable|mixed,cost account,Mixed accounts require an auditable split,confidential_local_only,metadata_only,True
chp_variable_om,driver_type,Incremental cost driver,text,cost account,"Must identify MWh, starts, hours, or another physical driver",confidential_local_only,metadata_only,True
chp_variable_om,driver_quantity,Observed driver quantity,numeric,unit-period-account,Must be finite and non-negative,confidential_local_only,metadata_only,True
chp_variable_om,driver_unit,Driver unit,text,cost account,Must be dimensionally consistent with the amount,confidential_local_only,metadata_only,True
chp_variable_om,inclusion_boundary,Included subaccounts,text,cost account,Must enumerate included cost items,confidential_local_only,metadata_only,True
chp_variable_om,exclusion_boundary,Excluded subaccounts,text,cost account,Must exclude fuel and ownership costs counted elsewhere,confidential_local_only,metadata_only,True
chp_variable_om,source_document_id,Opaque CHP ledger identifier,text,source document,Must resolve in the local evidence register,confidential_local_only,metadata_only,True
chp_variable_om,source_locator,Local CHP ledger locator,text,source document,Must resolve locally and must not be publicly exported,confidential_local_only,do_not_export,True
tes_variable_om,reference_project,TES project or quotation identifier,text,project,Must identify the Yangling design or a separately labeled sensitivity source,confidential_local_only,metadata_only,True
tes_variable_om,reporting_period,O&M or quotation period,year or date range,project-period,Must state the operating or price basis period,confidential_local_only,metadata_only,True
tes_variable_om,technology_topology,TES technology and interface topology,text,project,"Must map to the three-temperature, five-path, dual-service boundary",confidential_local_only,metadata_only,True
tes_variable_om,price_base_date,Price base date,YYYY-MM,quotation,Must be explicit for escalation and currency handling,confidential_local_only,metadata_only,True
tes_variable_om,cost_category,TES operating-cost category,text,cost account,"Must distinguish fixed O&M, variable O&M, electricity, and replacement",confidential_local_only,metadata_only,True
tes_variable_om,annual_amount_cny,Reported annual TES account amount,CNY/year,project-period-account,Must be finite and non-negative,confidential_local_only,metadata_only,True
tes_variable_om,fixed_variable_class,Fixed or variable classification,fixed|variable|mixed,cost account,Mixed accounts require an auditable split,confidential_local_only,metadata_only,True
tes_variable_om,driver_type,Incremental TES cost driver,text,cost account,"Must identify throughput, starts, hours, inventory, or another driver",confidential_local_only,metadata_only,True
tes_variable_om,driver_quantity,Observed or quoted driver quantity,numeric,project-period-account,Must be finite and non-negative,confidential_local_only,metadata_only,True
tes_variable_om,driver_unit,Driver unit,text,cost account,Must be dimensionally consistent with the amount,confidential_local_only,metadata_only,True
tes_variable_om,inclusion_boundary,Included TES subaccounts,text,cost account,Must enumerate included equipment and services,confidential_local_only,metadata_only,True
tes_variable_om,exclusion_boundary,Excluded TES subaccounts,text,cost account,"Must identify costs counted in ownership, fuel, or electricity accounts",confidential_local_only,metadata_only,True
tes_variable_om,source_document_id,Opaque TES evidence identifier,text,source document,Must resolve in the local evidence register,confidential_local_only,metadata_only,True
tes_variable_om,source_locator,Local TES evidence locator,text,source document,Must resolve locally and must not be publicly exported,confidential_local_only,do_not_export,True
